Crop,District,Years_Covered,Total_Area,Total_Production,Average_Yield,Yield_Std,Maximum_Yield,Minimum_Yield,Records,CV_Percentage,Yield_Stability
Bajra,RAMANATHAPURAM,20,27155.0,2057086.0,73.05,82.29,344.45,0.45,34,112.66,Highly Variable
Bajra,ERODE,21,23930.0,1733606.0,125.68,111.87,320.0,0.85,43,89.01,Highly Variable
Bajra,KRISHNAGIRI,14,10273.0,1468690.0,150.33,119.64,323.19,0.9,32,79.58,Highly Variable
Bajra,COIMBATORE,21,11234.0,1173501.0,159.27,219.81,1394.59,1.1,45,138.01,Highly Variable
Bajra,NAMAKKAL,21,14765.0,1166148.0,127.51,111.75,315.18,1.03,45,87.64,Highly Variable
Bajra,TIRUPPUR,9,1639.0,322170.0,193.65,122.18,368.75,2.0,22,63.09,Highly Variable
Bajra,SIVAGANGA,21,2100.0,215962.0,129.69,115.41,320.0,0.67,41,88.99,Highly Variable
Bajra,PUDUKKOTTAI,18,1992.0,186929.0,115.61,111.21,333.33,0.86,32,96.19,Highly Variable
Bajra,KANCHIPURAM,19,1300.0,146248.0,149.55,122.86,316.67,1.0,42,82.15,Highly Variable
Bajra,THANJAVUR,15,261.0,23707.0,130.38,113.27,300.0,1.32,29,86.88,Highly Variable
Bajra,NAGAPATTINAM,4,32.0,4425.0,119.3,141.52,316.67,0.33,7,118.62,Highly Variable
Bajra,THE NILGIRIS,4,24.0,1313.0,56.81,67.28,150.0,0.5,8,118.42,Highly Variable
Banana,THOOTHUKUDI,18,179457.0,893684200.0,5031.06,1386.39,7222.4,2582.2,18,27.56,Moderately Variable
Banana,TIRUCHIRAPPALLI,20,296379.0,729443099.0,2559.74,2328.51,6338.1,35.65,34,90.97,Highly Variable
Banana,ERODE,20,255822.0,671498041.0,2272.88,2175.24,6841.69,27.28,34,95.7,Highly Variable
Banana,COIMBATORE,20,260317.0,565724568.0,2147.26,1977.34,4974.42,29.28,34,92.09,Highly Variable
Banana,THENI,20,139195.0,512874684.0,3161.88,3177.47,8932.15,17.56,34,100.49,Highly Variable
Banana,TIRUNELVELI,20,243678.0,443576342.0,1830.02,1740.89,4800.69,23.94,34,95.13,Highly Variable
Banana,VELLORE,20,156228.0,344064609.0,2225.51,2174.89,7996.83,27.79,34,97.73,Highly Variable
Banana,CUDDALORE,20,138211.0,313820183.0,2138.33,2090.35,5858.09,23.57,34,97.76,Highly Variable
Banana,KANNIYAKUMARI,20,189689.0,307229020.0,1604.51,1604.95,4718.39,22.8,34,100.03,Highly Variable
Banana,KARUR,20,136852.0,284078813.0,2251.96,2220.45,6688.0,20.28,34,98.6,Highly Variable
Banana,PUDUKKOTTAI,20,107901.0,282080068.0,2735.19,2531.46,6621.71,30.01,34,92.55,Highly Variable
Banana,THANJAVUR,20,125306.0,272884913.0,2168.33,2179.49,7623.0,25.51,34,100.51,Highly Variable
Banana,DINDIGUL,20,118920.0,238981612.0,1879.53,2199.7,9576.06,17.56,34,117.03,Highly Variable
Banana,TIRUVANNAMALAI,20,80386.0,226231895.0,2638.39,2670.67,9715.77,35.38,34,101.22,Highly Variable
Banana,MADURAI,20,82779.0,218320664.0,2520.57,2332.13,6713.22,30.95,34,92.52,Highly Variable
Banana,NAMAKKAL,20,67224.0,144380495.0,2131.26,1986.45,5358.43,21.8,34,93.21,Highly Variable
Banana,SALEM,20,59376.0,131362413.0,2116.18,2009.03,5358.39,21.8,34,94.94,Highly Variable
Banana,THIRUVALLUR,20,49162.0,86652252.0,2228.64,2065.57,5358.44,20.72,34,92.68,Highly Variable
Banana,KRISHNAGIRI,15,33881.0,84104642.0,2662.6,2110.84,5358.41,35.38,24,79.28,Highly Variable
Banana,VILLUPURAM,20,37373.0,81322405.0,2160.72,2029.12,5358.43,18.65,34,93.91,Highly Variable
Banana,DHARMAPURI,20,31032.0,67712226.0,2449.18,2266.81,7497.75,35.37,34,92.55,Highly Variable
Banana,SIVAGANGA,20,25051.0,64150698.0,2344.81,2115.82,5358.33,35.0,34,90.23,Highly Variable
Banana,VIRUDHUNAGAR,20,25919.0,63081666.0,2340.83,2113.72,5358.38,34.34,34,90.3,Highly Variable
Banana,TIRUPPUR,9,25771.0,62540740.0,2560.35,1733.3,4787.6,36.77,12,67.7,Highly Variable
Banana,TUTICORIN,15,169664.0,49600033.0,362.55,1226.03,4959.97,40.32,16,338.17,Highly Variable
Banana,THE NILGIRIS,20,19675.0,49259631.0,2252.8,2096.42,5358.43,14.35,34,93.06,Highly Variable
Banana,NAGAPATTINAM,20,19062.0,43545774.0,2229.01,2050.67,5358.4,25.42,34,92.0,Highly Variable
Banana,THIRUVARUR,20,13163.0,29449897.0,2229.93,2050.81,5358.31,25.58,34,91.97,Highly Variable
Banana,PERAMBALUR,20,9484.0,22969169.0,2520.01,2417.03,8754.59,35.38,34,95.91,Highly Variable
Banana,KANCHIPURAM,20,8269.0,20170411.0,2227.98,2065.6,5358.37,20.72,34,92.71,Highly Variable
Banana,RAMANATHAPURAM,20,4637.0,11249630.0,2348.95,2118.05,5358.26,35.37,34,90.17,Highly Variable
Banana,ARIYALUR,9,1801.0,5599394.0,3030.54,1823.06,4369.44,41.53,12,60.16,Highly Variable
Banana,CHENNAI,1,27.0,116600.0,4318.52,,4318.52,4318.52,1,,Insufficient Data
Cotton(lint),PERAMBALUR,23,703899.0,77987542.0,118.84,114.99,383.4,0.26,48,96.76,Highly Variable
Cotton(lint),SALEM,22,519892.0,65577866.0,150.09,144.05,480.34,0.27,47,95.97,Highly Variable
